Year,Austria,Belgium,Bulgaria,Cyprus,Czech Republic,Germany,Denmark
1999,1.85,1.89,0.54,0.22,1.06,2.33,2.13
2000,1.89,1.92,0.5,0.23,1.12,2.39,2.19
2001,2,2.02,0.45,0.24,1.11,2.39,2.32
2002,2.07,1.89,0.47,0.28,1.1,2.42,2.44
2003,2.18,1.83,0.48,0.32,1.15,2.46,2.51
2004,2.17,1.81,0.47,0.34,1.15,2.42,2.42
2005,2.38,1.78,0.45,0.37,1.17,2.42,2.39
2006,2.37,1.81,0.45,0.38,1.23,2.46,2.4
2007,2.43,1.84,0.43,0.4,1.31,2.45,2.51
2008,2.59,1.92,0.45,0.39,1.24,2.6,2.78
2009,2.61,1.99,0.49,0.44,1.3,2.72,3.07
2010,2.74,2.05,0.56,0.45,1.34,2.71,2.94
2011,2.68,2.16,0.53,0.45,1.56,2.8,2.97
2012,2.93,2.36,0.6,0.43,1.78,2.87,3
2013,2.97,2.44,0.63,0.46,1.9,2.82,3.01
2014,3.06,2.46,0.79,0.48,1.97,2.89,3.02
2015,3.07,2.45,0.96,0.46,1.95,2.87,3.03